name, processor speed, ram, hard disk ssd, diagonala, pret
Laptop ASUS X515EA, 4.1, 8, 256, 15.6, 1700
Laptop Acer Enduro Urban N3 MIL-STD, 4.1, 8, 256, 14, 2500
Laptop Gaming ASUS TUF Gaming A17 FA706IC, 4.2, 16, 1024, 17.3, 4500
Laptop ultraportabil Lenovo IdeaPad 5 Pro 14ACN6, 4.2, 16, 1024, 14, 2600
Laptop Acer Enduro Urban N3 MIL-STD 810H EUN314-51WG, 4.7, 16, 24, 14, 5000
Laptop ASUS Vivobook Pro 16X N7600PC, 4.8, 16, 512, 16, 4950
Laptop Gaming Lenovo IdeaPad 3 15ACH6, 4.2, 8, 512, 15.6, 3200
Laptop Acer Enduro Urban N3 MIL-STD 810H EUN314-51W, 4.2, 8, 412, 14, 3200
Laptop Gaming Lenovo IdeaPad 3 15IHU6, 4.4, 16, 512, 15.6, 3350
Laptop Gaming ASUS ROG Strix G15 G513IC, 4.2, 16, 512, 15.6, 4500
Laptop Acer Aspire Vero AV15-51 Green PC, 4.5, 8, 512, 15.6, 3400
Laptop ultraportabil ASUS X415EA, 4.1, 8, 256, 14, 1800
Laptop ultraportabil Lenovo IdeaPad 3 15ITL6, 3.5, 8, 256, 15.6, 2240
Laptop Lenovo IdeaPad 3 15ITL6, 4.2, 8, 512, 15.6, 2500
Laptop Gaming Lenovo IdeaPad 3 15ACH6, 4.2, 16, 512, 15.6, 3800
Laptop Gaming HP Pavilion 15-dk2102nq, 4.4, 8, 512, 15.6, 3400
Laptop HP 15-dw3050nq, 4.1, 8, 512, 15.6, 1800
Laptop Gaming Lenovo IdeaPad 3 15ACH6, 4.2, 8, 256, 15.6, 3100
Laptop ASUS VivoBook 15 M513UA, 4, 8, 512, 15.6, 2600
